as_rank,asn,as_name,is_cloud,instance_count
12353,60781,LEASEWEB-NL-AMS-01,0,3
12371,4773,MOBILEONELTD-AS-AP,0,1
12388,7684,SAKURA-A,0,119
12390,54113,FASTLY,0,10
12393,17,PURDUE,0,3
12423,54290,HOSTWINDS,0,1
12431,21769,AS-COLOAM,0,1
12446,25820,IT7NET,0,8
12466,29580,A1BG_RSG,0,1
12475,201838,ASN-COMMUNITYFIBRE,0,1
12495,8069,MICROSOFT-CORP-MSN-AS-BLOCK,1,1
12568,7203,LEASEWEB-USA-SFO,0,1
12570,17809,VEETIME-TW-AP,0,1
12581,26347,DREAMHOST-AS,0,9
12589,398721,OXIO-ASN-01,0,1
12604,35244,KMS-DE_AS,0,1
12607,44395,ORG-UL31-RIPE,0,1
12620,20857,TRANSIP-AS,0,7
12631,8362,,0,3
12653,197540,netcup-AS,0,270
12716,3359,U-ALBERTA,0,1
12730,679,TUNET-AS,0,1
12751,6200,UIC-AS,0,1
12764,56478,BCUBE-AS,0,1
12805,35540,OVH-TELECOM,1,3
12836,30633,LEASEWEB-USA-WDC,0,1
12847,40021,NL-811-40021,0,19
12848,8972,GD-EMEA-DC-SXB1,0,2
12894,28753,LEASEWEB-DE-FRA-10,0,2
12903,56329,GIGACLEAR,0,1
12910,136188,CHINATELECOM-ZHEJIANG-NINGBO-IDC,0,1
12916,53187,,0,1
12928,131965,XSERVER,0,37
12942,15796,SALT-CH,0,2
12943,213230,HETZNER-CLOUD2-AS,1,66
12969,11105,SFU-AS,0,1
13005,24282,KIR,0,4
13010,54858,AS-SBI,0,1
13123,22612,NAMECHEAP-NET,0,10
13160,18047,NTHU-TW,0,1
13164,2033,PANIX,0,1
13205,40509,FLY,0,19
13210,51747,INTERNETBOLAGET,0,1
13265,33846,DATAPORT-AS,0,2
13268,21499,GODADDY-SXB,0,7
13392,35728,MTS-PENZA-AS,0,1
13477,2833,SUNET-UMU,0,2
13504,4385,RIT-ASN,0,1
13591,215859,HETZNER-CLOUD4-AS,1,1
13624,212317,HETZNER-CLOUD3-AS,1,32
13689,3782,SWARTHMORE,0,1
14002,2547,BMENET-AS,0,1
14002,2843,LIUnet,0,1
14002,1110,,0,1
14292,6921,ARACHNITEC,0,1
14294,202053,UPCLOUD,0,3
14295,198610,BEGET-AS,0,2
14296,32277,TBAYTEL,0,1
14310,40244,TURNKEY-INTERNET,0,1
14364,50624,OUTSCALE,0,2
14464,141995,CAPL-AS-AP,0,4
14476,10019,MCTV,0,1
14488,199636,FREEBOXPRO,0,1
14529,59253,LEASEWEB-APAC-SIN-11,0,2
14539,3842,RAMNODE,0,3
14546,6878,AS6878,0,1
14590,29852,HONEST,0,1
14596,212531,Interneto-vizija,0,5
14608,215540,GCS-AS,0,1
14627,395570,FIBRESTREAM,0,2
14704,42730,EVANZOAS,0,7
14711,33796,BNAA-AS,0,1
14715,29894,SCRTC,0,1
14723,29194,ASN-TVT,0,1
14723,202613,ARUBAFIBRA-ASN,0,2
14758,201011,CORE-BACKBONE,0,2
14758,211309,OBOSOPENNET-NO,0,1
14854,34705,SYDFYN,0,2
14918,31423,PROMAX-AS,0,1
14924,61098,exoscale,0,1
14944,36007,KAMATERA,0,4
14990,395092,SHOCK-1,0,1
14995,51935,SPY-AS,0,1
15061,37199,VANILLA,0,1
15102,42965,NETSERVICES-AS,0,1
15112,61028,sw-schwedt,0,1
15150,15517,NETSTREAM-CH,0,1
15157,49635,CLOUDING,0,6
15228,11062,MTCO-COMMUNICATIONS,0,1
15253,25190,KIS-AS,0,1
15348,34240,MANITU,0,6
15413,395336,MACST-ATL,0,1
15508,51896,HRINGDU-AS,0,1
15511,51809,BRSK,0,2
15523,42612,DINAHOSTING-AS,0,1
15535,60426,WIGHTFIBRE,0,1
15556,133159,MAMMOTHMEDIA-AS-AP,0,7
15559,33984,SURFPLANET-AS,0,1
15568,206238,FREEDOMINTERNET,0,11
15595,199959,CrownCloud,0,1
15658,29141,BKVG-AS,0,1
15660,202448,mvps,0,1
